,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,hammerfest,70.66,23.68,26.6,79,0,11.41,NO,1603327018
158,riyadh,24.69,46.72,62.6,27,0,5.82,SA,1603326772
159,honiara,-9.43,159.95,80.6,88,75,5.82,SB,1603326850
161,dikson,73.51,80.55,23.5,96,97,11.12,RU,1603326786
162,cururupu,-1.83,-44.87,75.34,88,36,4.09,BR,1603327019
163,norman wells,65.28,-126.83,23.0,85,75,12.75,CA,1603326836
164,port elizabeth,-33.92,25.57,55.4,100,0,3.36,ZA,1603326840
165,gasa,31.5,34.47,73.0,77,0,2.24,PS,1603326833
166,kaitangata,-46.28,169.85,59.63,49,98,7.11,NZ,1603326862
167,santiago,-33.46,-70.65,66.0,55,0,10.29,CL,1603326928
168,tamasane,-22.42,27.4,63.64,70,1,15.12,BW,1603327020
169,nefteyugansk,61.1,72.6,30.2,100,75,6.71,RU,1603326752
170,qianguo,45.12,124.86,38.79,67,0,10.36,CN,1603327020
171,kapuskasing,49.42,-82.43,32.0,97,90,1.36,CA,1603327020
172,san patricio,28.02,-97.52,80.6,78,20,16.11,US,1603327021
173,janauba,-15.8,-43.31,77.34,62,21,7.2,BR,1603327021
174,palmer,42.16,-72.33,68.0,77,75,6.93,US,1603326922
175,rodrigues alves,-7.74,-72.65,73.67,97,100,2.1,BR,1603327021
176,treinta y tres,-33.23,-54.38,55.69,85,100,10.69,UY,1603327022
177,san cristobal,7.77,-72.22,86.0,62,40,5.82,VE,1603326838
178,guaruja,-23.99,-46.26,75.99,26,2,7.34,BR,1603326968
179,imbituba,-28.24,-48.67,71.6,94,40,13.87,BR,1603327022
180,bilibino,68.05,166.44,23.23,96,11,1.97,RU,1603326885
181,havre-saint-pierre,50.23,-63.6,35.6,93,90,9.17,CA,1603327023
182,kuytun,54.34,101.5,31.21,90,100,8.05,RU,1603327023
183,ixtapa,20.7,-105.2,87.8,79,75,6.93,MX,1603326869
184,chuy,-33.7,-53.46,58.51,74,100,15.14,UY,1603326849
185,songkhla,6.83,100.67,77.0,100,40,2.66,TH,1603327023
186,clyde river,70.47,-68.59,15.8,78,1,5.82,CA,1603326847
187,te anau,-45.42,167.72,55.11,63,100,5.28,NZ,1603326854
188,clinton,42.59,-82.92,50.0,100,40,4.7,US,1603327024
189,port lincoln,-34.73,135.87,61.34,77,100,11.52,AU,1603326886
190,honningsvag,70.98,25.97,34.02,86,0,9.82,NO,1603327024
191,constitucion,-35.33,-72.42,49.42,84,0,8.72,CL,1603326879
192,salgueiro,-8.07,-39.12,78.49,55,2,16.84,BR,1603327025
193,christchurch,-43.53,172.63,61.0,59,60,11.41,NZ,1603326878
194,waingapu,-9.66,120.26,85.14,58,0,5.88,ID,1603326923
